35 80
2 40 3
24 31 1
1 32 6
31 32 2
13 17 4
17 42 5
19 18 2
24 44 1
1 39 3
33 21 1
33 38 1
32 16 6
8 32 2
19 44 1
29 21 5
15 10 7
28 38 3
7 44 7
3 44 7
2 23 1
12 18 3
19 20 7
6 19 5
2 22 3
7 38 5
2 38 3
26 21 6
17 28 6
10 33 5
17 21 2
26 11 1
14 32 7
26 34 5
27 38 7
2 11 7
35 40 2
12 15 2
27 24 2
17 31 2
24 28 1
12 29 2
20 37 3
30 44 4
13 23 6
22 35 5
21 10 1
25 38 3
15 28 7
35 10 6
35 24 2
19 10 3
25 40 1
29 15 6
4 31 3
33 18 6
15 34 3
21 18 4
17 30 4
27 18 6
34 25 2
9 38 1
25 32 2
15 27 4
5 17 5
34 23 6
8 19 6
3 40 3
14 16 6
20 23 1
29 17 4
35 39 1
11 20 1
35 11 2
29 19 3
28 12 6
29 24 3
33 31 7
28 29 2
12 25 2
18 19 2
