35 65
26 23 3
1 37 2
28 39 3
21 7 3
3 25 3
27 35 3
14 22 2
35 42 4
15 10 1
28 44 2
21 26 5
5 32 2
20 44 3
8 33 5
27 22 3
26 12 4
4 30 3
23 39 4
22 23 2
28 26 6
18 33 6
24 44 3
27 33 2
26 40 6
2 38 3
25 20 7
25 24 5
24 40 5
23 32 3
34 27 7
9 21 1
2 10 6
33 17 3
20 39 3
1 11 6
15 5 1
16 25 7
25 33 7
20 18 1
13 33 5
32 13 3
21 18 1
5 27 1
4 19 2
20 41 5
13 14 7
30 12 7
6 36 7
35 13 2
33 34 2
15 31 1
11 17 2
11 41 2
13 41 6
10 27 5
16 13 1
1 22 3
13 21 3
21 25 5
1 17 2
34 16 6
35 36 1
3 44 3
7 21 1
12 19 1
