15 80
11 23 5
9 22 1
3 20 7
9 13 7
2 23 5
14 10 3
13 23 5
3 16 1
2 20 5
11 12 4
14 16 6
1 11 1
13 15 2
2 20 5
15 18 5
6 18 2
12 15 6
1 12 1
12 11 2
7 16 1
11 19 7
14 23 1
9 24 3
3 10 6
6 11 7
15 14 3
2 21 1
5 19 5
1 11 7
10 21 4
15 23 4
9 13 5
1 20 2
12 13 3
10 17 5
7 12 4
6 16 2
10 21 4
5 24 1
15 24 5
7 16 1
5 20 3
11 14 3
3 21 2
13 24 4
15 22 3
5 21 5
13 18 6
5 24 6
1 12 5
15 18 5
15 22 3
9 17 3
5 22 2
9 22 2
6 18 5
6 14 5
6 18 6
9 21 7
3 21 3
4 12 3
4 21 7
9 13 3
14 11 7
15 21 1
15 17 7
15 22 5
11 23 1
8 12 3
11 23 2
7 19 7
9 21 4
1 20 7
14 10 1
15 23 7
3 10 4
11 19 5
4 13 4
5 21 2
14 11 5
