25 80
20 30 6
19 30 3
5 14 2
12 15 5
7 23 7
16 18 1
15 10 1
10 27 7
6 15 7
13 26 1
16 18 1
23 24 1
17 31 6
23 27 4
2 26 7
4 16 7
6 33 1
11 34 4
11 13 4
1 11 6
23 28 4
1 12 5
1 30 3
15 12 2
6 23 6
25 26 1
14 12 6
3 28 1
10 24 7
2 16 3
14 22 7
3 16 5
10 34 4
24 17 7
19 16 1
13 28 1
1 20 4
4 26 4
8 20 4
18 24 5
16 32 7
5 34 3
25 28 3
24 16 1
24 10 6
7 33 4
10 25 1
19 18 5
11 20 5
19 34 3
24 16 6
9 17 7
23 20 6
16 31 2
23 33 7
19 13 7
21 16 2
24 10 5
3 21 1
6 15 7
17 23 3
25 18 1
10 15 2
13 25 6
22 19 3
16 11 1
13 12 1
2 11 3
23 13 6
4 13 2
7 12 1
12 14 2
12 34 7
1 27 7
10 21 6
13 21 3
4 15 2
16 27 1
18 25 5
6 30 5
