20 80
11 13 4
17 23 5
14 25 6
4 29 1
12 28 7
9 19 4
10 26 3
16 28 3
1 26 4
12 20 6
8 28 4
1 19 4
17 16 4
20 16 2
2 14 4
19 12 7
20 25 7
8 19 2
8 29 1
18 28 7
15 12 3
16 27 5
14 12 4
18 7 1
16 19 7
7 21 6
17 22 3
15 29 6
10 25 5
19 22 2
17 22 4
6 25 4
4 16 4
16 24 2
1 28 2
4 26 1
7 28 5
13 15 3
16 28 2
3 18 5
8 13 3
15 16 3
6 12 3
14 25 7
4 10 2
11 12 5
13 26 5
8 19 4
11 27 2
17 27 4
18 28 7
8 16 2
17 26 4
2 17 3
16 15 7
8 18 2
20 26 1
14 12 6
10 27 3
3 15 3
13 23 1
10 17 1
19 20 4
14 17 7
14 18 4
12 24 5
7 23 7
16 15 3
5 25 5
20 17 1
12 20 6
2 17 5
12 19 4
13 18 4
15 20 6
9 27 7
20 25 6
10 15 6
14 11 5
18 11 5
