22 80
10 15 5
17 16 5
8 25 6
10 18 3
19 26 7
7 25 1
16 12 2
12 11 2
7 29 6
1 14 3
21 10 4
20 30 2
18 25 4
7 19 5
14 15 4
20 24 1
9 26 6
7 18 2
15 9 3
8 27 4
22 13 5
5 17 1
9 27 1
1 14 5
22 3 5
20 10 5
10 23 2
19 26 5
6 23 4
8 13 3
11 23 2
18 14 6
6 15 6
5 10 6
9 29 1
5 17 2
21 20 7
6 30 4
14 31 7
10 26 6
12 10 7
6 28 1
10 24 6
6 27 4
1 12 1
13 12 7
20 25 3
8 19 6
18 15 2
5 29 1
4 23 6
7 30 7
3 17 5
3 28 1
18 10 1
3 17 7
20 21 3
1 13 4
15 13 2
14 16 4
17 25 5
20 22 6
15 27 7
3 24 6
1 14 4
11 17 5
2 11 3
22 23 5
11 17 4
6 14 4
11 28 3
4 14 6
7 20 7
9 30 3
18 31 6
2 21 5
17 20 6
6 31 6
12 25 4
9 16 5
