25 65
20 34 3
14 29 1
25 23 6
15 31 7
23 15 2
20 18 5
2 12 5
12 27 3
9 11 3
8 19 3
8 34 4
23 22 3
8 32 7
11 13 4
25 16 3
25 19 1
14 11 2
23 29 3
9 27 2
17 10 3
6 31 4
24 17 7
5 32 7
23 17 5
7 27 2
13 20 7
24 29 4
22 23 5
25 19 4
9 21 3
17 26 2
12 30 5
14 24 1
16 26 7
23 21 3
19 21 1
10 17 4
13 19 4
25 30 5
19 29 3
4 13 4
5 10 2
13 15 6
6 19 5
15 32 3
12 20 3
14 19 2
12 30 6
3 33 5
3 14 3
1 17 2
20 13 6
18 15 3
13 16 6
10 17 1
23 22 2
16 15 7
11 29 7
10 21 3
4 24 6
13 27 7
24 17 4
24 6 1
7 14 7
23 24 3
