10 80
7 15 3
1 14 5
8 13 4
3 15 7
3 14 4
6 12 3
7 18 3
6 15 1
4 17 4
4 12 2
3 15 1
10 11 5
2 15 5
5 12 1
7 11 4
8 17 6
9 12 5
9 15 4
3 18 3
7 17 7
7 15 7
5 19 5
2 11 2
3 17 4
1 14 5
5 11 4
6 10 6
10 17 3
1 18 2
10 16 7
6 19 2
10 11 2
3 10 1
8 18 5
3 17 4
5 16 7
5 12 5
8 19 3
1 18 6
9 10 4
5 11 1
6 10 7
2 16 6
6 19 7
5 10 5
1 14 3
8 12 3
10 16 3
2 16 3
8 11 1
7 15 5
9 15 5
1 16 5
9 11 1
5 18 6
3 18 6
4 14 3
10 12 7
4 19 1
10 19 1
7 19 7
3 16 3
8 13 1
6 11 5
5 19 1
3 15 5
6 14 5
3 17 7
1 18 7
3 10 1
8 11 4
7 13 6
5 16 3
9 13 1
1 13 4
4 16 7
2 10 6
9 11 5
3 14 1
4 13 7
