40 65
13 17 1
17 29 1
37 14 7
32 27 2
27 13 6
23 29 7
1 43 2
2 10 4
24 17 3
5 18 2
17 12 4
26 20 5
25 31 3
23 22 7
6 34 1
20 35 6
35 40 1
27 45 1
19 18 4
7 24 7
19 27 2
22 31 1
25 42 4
37 33 2
37 36 4
1 10 5
32 28 7
15 39 7
40 14 7
31 43 4
9 35 4
25 46 3
39 31 5
29 19 5
16 41 1
15 13 3
2 23 1
13 47 6
7 10 2
27 37 7
12 29 6
16 49 6
38 39 2
1 21 6
6 39 7
38 35 4
22 10 7
2 20 5
33 43 6
4 34 7
28 10 2
34 16 3
34 14 2
27 47 5
18 34 6
6 10 3
14 32 2
8 41 6
16 12 6
29 44 2
6 34 7
29 31 4
9 37 2
10 34 3
37 30 3
